Name,Party,State,Vote
Gohmert,Republican,Texas,YEA
Golden,Democratic,Maine,NAY
Gomez,Democratic,California,NAY
"Gonzales, Tony",Republican,Texas,NAY
Gonzalez (OH),Republican,Ohio,NAY
"Gonzalez, Vicente",Democratic,Texas,NAY
Good (VA),Republican,Virginia,YEA
Gooden (TX),Republican,Texas,YEA
Gosar,Republican,Arizona,YEA
Gottheimer,Democratic,New Jersey,NAY
Granger,Republican,Texas,NOT VOTING
Graves (LA),Republican,Louisiana,NAY
Graves (MO),Republican,Missouri,YEA
Green (TN),Republican,Tennessee,YEA
"Green, Al (TX)",Democratic,Texas,NAY
Greene (GA),Republican,Georgia,YEA
Griffith,Republican,Virginia,YEA
Grijalva,Democratic,Arizona,NAY
Grothman,Republican,Wisconsin,NAY
Guest,Republican,Mississippi,YEA
Guthrie,Republican,Kentucky,NAY
Haaland,Democratic,New Mexico,NAY
Hagedorn,Republican,Minnesota,YEA
Harder (CA),Democratic,California,NAY
Harris,Republican,Maryland,YEA
Harshbarger,Republican,Tennessee,YEA
Hartzler,Republican,Missouri,YEA
Hastings,Democratic,Florida,NOT VOTING
Hayes,Democratic,Connecticut,NAY
Hern,Republican,Oklahoma,YEA
Herrell,Republican,New Mexico,YEA
Herrera Beutler,Republican,Washington,NAY
Hice (GA),Republican,Georgia,YEA
Higgins (LA),Republican,Louisiana,YEA
Higgins (NY),Democratic,New York,NAY
Hill,Republican,Arkansas,NAY
Himes,Democratic,Connecticut,NAY
Hinson,Republican,Iowa,NAY
Hollingsworth,Republican,Indiana,NAY
Horsford,Democratic,Nevada,NAY
Houlahan,Democratic,Pennsylvania,NAY
Hoyer,Democratic,Maryland,NAY
Hudson,Republican,North Carolina,YEA
Huffman,Democratic,California,NAY
Huizenga,Republican,Michigan,NAY
Issa,Republican,California,YEA
Jackson,Republican,Texas,YEA
Jackson Lee,Democratic,Texas,NAY
Jacobs (CA),Democratic,California,NAY
Jacobs (NY),Republican,New York,YEA
Jayapal,Democratic,Washington,NAY
Jeffries,Democratic,New York,NAY
Johnson (GA),Democratic,Georgia,NAY
Johnson (LA),Republican,Louisiana,YEA
Johnson (OH),Republican,Ohio,YEA
Johnson (SD),Republican,South Dakota,NAY
Johnson (TX),Democratic,Texas,NAY
Jones,Democratic,New York,NAY
Jordan,Republican,Ohio,YEA
Joyce (OH),Republican,Ohio,NAY
Joyce (PA),Republican,Pennsylvania,YEA
Kahele,Democratic,Hawaii,NAY
Kaptur,Democratic,Ohio,NAY
Katko,Republican,New York,NAY
Keating,Democratic,Massachusetts,NAY
Keller,Republican,Pennsylvania,NAY
Kelly (IL),Democratic,Illinois,NAY
Kelly (MS),Republican,Mississippi,YEA
Kelly (PA),Republican,Pennsylvania,YEA
Khanna,Democratic,California,NAY
Kildee,Democratic,Michigan,NAY
Kilmer,Democratic,Washington,NAY
Kim (CA),Republican,California,NOT VOTING
Kim (NJ),Democratic,New Jersey,NAY
Kind,Democratic,Wisconsin,NAY
Kinzinger,Republican,Illinois,NAY
Kirkpatrick,Democratic,Arizona,NAY
Krishnamoorthi,Democratic,Illinois,NAY
Kuster,Democratic,New Hampshire,NAY
Kustoff,Republican,Tennessee,NAY
LaHood,Republican,Illinois,NAY
LaMalfa,Republican,California,YEA
Lamb,Democratic,Pennsylvania,NAY
Lamborn,Republican,Colorado,YEA
Langevin,Democratic,Rhode Island,NAY
Larsen (WA),Democratic,Washington,NAY
Larson (CT),Democratic,Connecticut,NAY
Latta,Republican,Ohio,NAY
LaTurner,Republican,Kansas,YEA
Lawrence,Democratic,Michigan,NAY
Lawson (FL),Democratic,Florida,NAY
Lee (CA),Democratic,California,NAY
Lee (NV),Democratic,Nevada,NAY
Leger Fernandez,Democratic,New Mexico,NAY
Lesko,Republican,Arizona,YEA
Levin (CA),Democratic,California,NAY
Levin (MI),Democratic,Michigan,NAY
Lieu,Democratic,California,NAY
Lofgren,Democratic,California,NAY
Long,Republican,Missouri,YEA
Loudermilk,Republican,Georgia,YEA
Lowenthal,Democratic,California,NAY
Lucas,Republican,Oklahoma,YEA
Luetkemeyer,Republican,Missouri,YEA
Luria,Democratic,Virginia,NAY
Lynch,Democratic,Massachusetts,NAY
Mace,Republican,South Carolina,NAY
Malinowski,Democratic,New Jersey,NAY
Malliotakis,Republican,New York,YEA
"Maloney, Carolyn B.",Democratic,New York,NAY
"Maloney, Sean",Democratic,New York,NAY
Mann,Republican,Kansas,YEA
Manning,Democratic,North Carolina,NAY
Massie,Republican,Kentucky,NAY
Mast,Republican,Florida,YEA
Matsui,Democratic,California,NAY
McBath,Democratic,Georgia,NAY
McCarthy,Republican,California,YEA
McCaul,Republican,Texas,NAY
McClain,Republican,Michigan,YEA
McClintock,Republican,California,NAY
McCollum,Democratic,Minnesota,NAY
McEachin,Democratic,Virginia,NAY
McGovern,Democratic,Massachusetts,NAY
McHenry,Republican,North Carolina,NAY
McKinley,Republican,West Virginia,NAY
McNerney,Democratic,California,NAY
Meeks,Democratic,New York,NAY
Meijer,Republican,Michigan,NAY
Meng,Democratic,New York,NAY
Meuser,Republican,Pennsylvania,NAY
Mfume,Democratic,Maryland,NAY
Miller (IL),Republican,Illinois,YEA
Miller (WV),Republican,West Virginia,YEA
Miller-Meeks,Republican,Iowa,NAY
Moolenaar,Republican,Michigan,NAY
Mooney,Republican,West Virginia,NAY
Moore (AL),Republican,Alabama,YEA
Moore (UT),Republican,Utah,NAY
Moore (WI),Democratic,Wisconsin,NAY
Morelle,Democratic,New York,NAY
Moulton,Democratic,Massachusetts,NAY
Mrvan,Democratic,Indiana,NAY
Mullin,Republican,Oklahoma,YEA
Murphy (FL),Democratic,Florida,NAY
Murphy (NC),Republican,North Carolina,NAY
Nadler,Democratic,New York,NAY
Napolitano,Democratic,California,NAY
Neal,Democratic,Massachusetts,NAY
Neguse,Democratic,Colorado,NAY
Nehls,Republican,Texas,YEA
Newhouse,Republican,Washington,NAY
Newman,Democratic,Illinois,NAY
Norcross,Democratic,New Jersey,NAY
Norman,Republican,South Carolina,YEA
Nunes,Republican,California,YEA
O'Halleran,Democratic,Arizona,NAY
Obernolte,Republican,California,YEA
Ocasio-Cortez,Democratic,New York,NAY
Omar,Democratic,Minnesota,NAY
Owens,Republican,Utah,NAY
Palazzo,Republican,Mississippi,YEA
Pallone,Democratic,New Jersey,NAY
Palmer,Republican,Alabama,YEA
Panetta,Democratic,California,NAY
Pappas,Democratic,New Hampshire,NAY
Pascrell,Democratic,New Jersey,NAY
Payne,Democratic,New Jersey,NAY
Pelosi,Democratic,California,NAY
Pence,Republican,Indiana,NAY
Perlmutter,Democratic,Colorado,NAY
Perry,Republican,Pennsylvania,YEA
Peters,Democratic,California,NAY
Pfluger,Republican,Texas,YEA
Phillips,Democratic,Minnesota,NAY
Pingree,Democratic,Maine,NAY
Pocan,Democratic,Wisconsin,NAY
Porter,Democratic,California,NAY
Posey,Republican,Florida,YEA
Pressley,Democratic,Massachusetts,NAY
Price (NC),Democratic,North Carolina,NAY
Quigley,Democratic,Illinois,NAY
Raskin,Democratic,Maryland,NAY
Reed,Republican,New York,NAY
Reschenthaler,Republican,Pennsylvania,YEA
Rice (NY),Democratic,New York,NAY
Rice (SC),Republican,South Carolina,YEA
Richmond,Democratic,Louisiana,NAY
Rodgers (WA),Republican,Washington,NAY
Rogers (AL),Republican,Alabama,YEA
Rogers (KY),Republican,Kentucky,YEA
Rose,Republican,Tennessee,YEA
Rosendale,Republican,Montana,YEA
Ross,Democratic,North Carolina,NAY
Rouzer,Republican,North Carolina,YEA
Roy,Republican,Texas,NAY
Roybal-Allard,Democratic,California,NAY
Ruiz,Democratic,California,NAY
Ruppersberger,Democratic,Maryland,NAY
Rush,Democratic,Illinois,NAY
Rutherford,Republican,Florida,YEA
Ryan,Democratic,Ohio,NAY
Sánchez,Democratic,California,NAY
Sarbanes,Democratic,Maryland,NAY
Scalise,Republican,Louisiana,YEA
Scanlon,Democratic,Pennsylvania,NAY
Schakowsky,Democratic,Illinois,NAY
Schiff,Democratic,California,NAY
Schneider,Democratic,Illinois,NAY
Schrader,Democratic,Oregon,NAY
Schrier,Democratic,Washington,NAY
Schweikert,Republican,Arizona,NAY
Scott (VA),Democratic,Virginia,NAY
"Scott, Austin",Republican,Georgia,NAY
"Scott, David",Democratic,Georgia,NAY
Sessions,Republican,Texas,YEA
Sewell,Democratic,Alabama,NAY
Sherman,Democratic,California,NAY
Sherrill,Democratic,New Jersey,NAY
Simpson,Republican,Idaho,NAY
Sires,Democratic,New Jersey,NAY
Slotkin,Democratic,Michigan,NAY
Smith (MO),Republican,Missouri,YEA
Smith (NE),Republican,Nebraska,YEA
Smith (NJ),Republican,New Jersey,NAY
Smith (WA),Democratic,Washington,NAY
Smucker,Republican,Pennsylvania,NAY
Soto,Democratic,Florida,NAY
Spanberger,Democratic,Virginia,NAY
Spartz,Republican,Indiana,NAY
Speier,Democratic,California,NAY
Stanton,Democratic,Arizona,NAY
Stauber,Republican,Minnesota,NAY
Steel,Republican,California,NOT VOTING
Stefanik,Republican,New York,NAY
Steil,Republican,Wisconsin,NAY
Steube,Republican,Florida,YEA
Stevens,Democratic,Michigan,NAY
Stewart,Republican,Utah,NAY
Stivers,Republican,Ohio,NAY
Strickland,Democratic,Washington,NAY
Suozzi,Democratic,New York,NAY
Swalwell,Democratic,California,NAY
Takano,Democratic,California,NAY
Taylor,Republican,Texas,NAY
Thompson (CA),Democratic,California,NAY
Thompson (MS),Democratic,Mississippi,NAY
Thompson (PA),Republican,Pennsylvania,NAY
Tiffany,Republican,Wisconsin,YEA
Timmons,Republican,South Carolina,YEA
Titus,Democratic,Nevada,NAY
Tlaib,Democratic,Michigan,NOT VOTING
Tonko,Democratic,New York,NAY
Torres (CA),Democratic,California,NAY
Torres (NY),Democratic,New York,NAY
Trahan,Democratic,Massachusetts,NAY
Trone,Democratic,Maryland,NAY
Turner,Republican,Ohio,NAY
Underwood,Democratic,Illinois,NAY
Upton,Republican,Michigan,NAY
Van Drew,Republican,New Jersey,YEA
Van Duyne,Republican,Texas,NAY
Vargas,Democratic,California,NAY
Veasey,Democratic,Texas,NAY
Vela,Democratic,Texas,NAY
Velázquez,Democratic,New York,NAY
Wagner,Republican,Missouri,NAY
Walberg,Republican,Michigan,YEA
Walorski,Republican,Indiana,YEA
Waltz,Republican,Florida,NAY
Wasserman Schultz,Democratic,Florida,NAY
Waters,Democratic,California,NAY
Watson Coleman,Democratic,New Jersey,NAY
Weber (TX),Republican,Texas,YEA
Webster (FL),Republican,Florida,YEA
Welch,Democratic,Vermont,NAY
Wenstrup,Republican,Ohio,NAY
Westerman,Republican,Arkansas,NAY
Wexton,Democratic,Virginia,NAY
Wild,Democratic,Pennsylvania,NAY
Williams (GA),Democratic,Georgia,NAY
Williams (TX),Republican,Texas,YEA
Wilson (FL),Democratic,Florida,NAY
Wilson (SC),Republican,South Carolina,YEA
Wittman,Republican,Virginia,NAY
Womack,Republican,Arkansas,NAY
Wright,Republican,Texas,YEA
Yarmuth,Democratic,Kentucky,NAY
Young,Republican,Alaska,NAY
Zeldin,Republican,New York,YEA
